Movie Name,Director,Year,Genre,Rating
The Secret World of Arrietty,Hiromasa Yonebayashi,2010,Animation/Fantasy/G/G/G,G
Tangled,Nathan Greno/Byron Howard,2010,Animation/Adventure/PG/PG/PG,PG
The Princess and the Frog,Ron Clements/John Musker,2009,Animation/Romance/G/G/G,G
Moana,Ron Clements/John Musker,2016,Animation/Adventure/PG/PG/PG,PG
Cloudy with a Chance of Meatballs,Phil Lord/Christopher Miller,2009,Animation/Comedy/PG/PG/PG,PG
The Lego Batman Movie,Chris McKay,2017,Animation/Action/PG/PG/PG,PG
Kubo and the Two Strings,Travis Knight,2016,Animation/Fantasy/PG/PG/PG,PG
A Bug's Life,John Lasseter,1998,Animation/Adventure/G/G/G,G
The SpongeBob SquarePants Movie,Stephen Hillenburg,2004,Animation/Comedy/PG/PG/PG,PG
Ponyo,Hayao Miyazaki,2008,Animation/Fantasy/G/G/G,G
Fantastic Mr. Fox,Wes Anderson,2009,Animation/Comedy/PG/PG/PG,PG
The Polar Express,Robert Zemeckis,2004,Animation/Fantasy/G/G/G,G
The Peanuts Movie,Steve Martino,2015,Animation/Comedy/G/G/G,G
Shrek 2,Andrew Adamson/Kelly Asbury,2004,Animation/Comedy/PG/PG/PG,PG
Madagascar,Eric Darnell/Tom McGrath,2005,Animation/Adventure/PG/PG/PG,PG
Toy Story 2,John Lasseter,1999,Animation/Adventure/G/G/G,G
Rango,Gore Verbinski,2011,Animation/Western/PG/PG/PG,PG
The Book of Life,Jorge R. Gutierrez,2014,Animation/Fantasy/PG/PG/PG,PG
Coraline,Henry Selick,2009,Animation/Fantasy/PG/PG/PG,PG
Chicken Run,Peter Lord/Nick Park,2000,Animation/Comedy/G/G/G,G
The Nightmare Before Christmas,Henry Selick,1993,Animation/Fantasy/PG/PG/PG,PG
Hotel Transylvania,Genndy Tartakovsky,2012,Animation/Comedy/PG/PG/PG,PG
Ice Age,Chris Wedge,2002,Animation/Adventure/PG/PG/PG,PG
Corpse Bride,Tim Burton/Mike Johnson,2005,Animation/Fantasy/PG/PG/PG,PG
Frankenweenie,Tim Burton,2012,Animation/Horror/PG/PG/PG,PG
ParaNorman,Sam Fell/Chris Butler,2012,Animation/Comedy/PG/PG/PG,PG
Wallace & Gromit: The Curse of the Were-Rabbit,Steve Box/Nick Park,2005,Animation/Comedy/G/G/G,G
Monsters University,Dan Scanlon,2013,Animation/Comedy/G/G/G,G
Rio,Carlos Saldanha,2011,Animation/Adventure/G/G/G,G
Kung Fu Panda 2,Jennifer Yuh Nelson,2011,Animation/Action/PG/PG/PG,PG
The Lorax,Chris Renaud,2012,Animation/Fantasy/PG/PG/PG,PG
Robots,Chris Wedge,2005,Animation/Sci-Fi/PG/PG/PG,PG
Megamind,Tom McGrath,2010,Animation/Action/PG/PG/PG,PG
The Boxtrolls,Graham Annable/Anthony Stacchi,2014,Animation/Fantasy/PG/PG/PG,PG
The Emperor's New Groove,Mark Dindal,2000,Animation/Comedy/G/G/G,G
Surf's Up,Ash Brannon/Chris Buck,2007,Animation/Sport/PG/PG/PG,PG
Over the Hedge,Tim Johnson/Karey Kirkpatrick,2006,Animation/Comedy/PG/PG/PG,PG
Antz,Eric Darnell/Tim Johnson,1998,Animation/Adventure/PG/PG/PG,PG
Bolt,Byron Howard/Chris Williams,2008,Animation/Adventure/PG/PG/PG,PG
The Land Before Time,Don Bluth,1988,Animation/Adventure/G/G/G,G
The Road to El Dorado,Bibo Bergeron/Don Paul,2000,Animation/Adventure/PG/PG/PG,PG
Treasure Planet,Ron Clements/John Musker,2002,Animation/Sci-Fi/PG/PG/PG,PG
The Wild Thornberrys Movie,Cathy Malkasian/Jeff McGrath,2002,Animation/Adventure/PG/PG/PG,PG
The Croods,Kirk DeMicco/Chris Sanders,2013,Animation/Adventure/PG/PG/PG,PG
The Good Dinosaur,Peter Sohn,2015,Animation/Adventure/PG/PG/PG,PG
Anastasia,Don Bluth/Gary Goldman,1997,Animation/Musical/G/G/G,G
Rise of the Guardians,Peter Ramsey,2012,Animation/Fantasy/PG/PG/PG,PG
Brother Bear,Aaron Blaise/Robert Walker,2003,Animation/Adventure/G/G/G,G
Meet the Robinsons,Stephen J. Anderson,2007,Animation/Sci-Fi/G/G/G,G
Curious George,Matthew O'Callaghan,2006,Animation/Adventure/G/G/G,G
The Rescuers,Wolfgang Reitherman/John Lounsbery,1977,Animation/Adventure/G/G/G,G
The Great Mouse Detective,Ron Clements/Burny Mattinson,1986,Animation/Mystery/G/G/G,G
The Sword in the Stone,Wolfgang Reitherman,1963,Animation/Fantasy/G/G/G,G
An American Tail,Don Bluth,1986,Animation/Adventure/G/G/G,G
The Black Cauldron,Ted Berman/Richard Rich,1985,Animation/Fantasy/PG/PG/PG,PG
The Aristocats,Wolfgang Reitherman,1970,Animation/Comedy/G/G/G,G
Oliver & Company,George Scribner,1988,Animation/Musical/G/G/G,G
The Brave Little Toaster,Jerry Rees,1987,Animation/Adventure/G/G/G,G
The Secret of NIMH,Don Bluth,1982,Animation/Drama/G/G/G,G
Balto,Simon Wells,1995,Animation/Adventure/G/G/G,G
The Pagemaster,Joe Johnston/Maurice Hunt,1994,Animation/Fantasy/G/G/G,G
FernGully: The Last Rainforest,Bill Kroyer,1992,Animation/Fantasy/G/G/G,G
We're Back! A Dinosaur's Story,Phil Nibbelink/Simon Wells,1993,Animation/Adventure/G/G/G,G
All Dogs Go to Heaven,Don Bluth,1989,Animation/Comedy/G/G/G,G
The Swan Princess,Richard Rich,1994,Animation/Romance/G/G/G,G
Once Upon a Forest,Charles Grosvenor,1993,Animation/Adventure/G/G/G,G
The Thief and the Cobbler,Richard Williams,1993,Animation/Fantasy/G/G/G,G
Rock-a-Doodle,Don Bluth,1991,Animation/Musical/G/G/G,G
A Troll in Central Park,Don Bluth/Gary Goldman,1994,Animation/Fantasy/G,G
Cats Don't Dance,Mark Dindal,1997,Animation/Musical/G,G
The Pebble and the Penguin,Don Bluth,1995,Animation/Musical/G,G
Quest for Camelot,Frederik Du Chau,1998,Animation/Fantasy/G,G
The King and I,Richard Rich,1999,Animation/Musical/G,G
The Trumpet of the Swan,Richard Rich,2001,Animation/Family/G,G
Star Wars,George Lucas,1977,Science-Fantasy/Western,PG
